"Q1"	"Q2"	"Q3"	"Q4"	"Q5"	"Q6"	"Q7"	"Q8"	"Q9"	"Q10"	"Gender"
"46"	3	4	4	2	3	4	4	4	4	3	1
"47"	2	2	3	1	3	2	1	2	3	4	1
"48"	1	2	2	1	2	2	2	2	2	2	1
"49"	2	1	1	1	3	2	1	1	1	3	1
"50"	4	4	1	1	1	3	1	3	3	1	1
"51"	1	1	4	1	1	1	1	1	2	4	1
"52"	1	1	2	1	1	4	1	1	4	1	1
"53"	2	2	2	2	2	3	1	2	1	2	1
"54"	1	4	3	1	1	3	3	3	4	1	1
"55"	3	3	2	4	1	4	3	4	1	4	1
"56"	4	1	1	1	3	3	4	3	3	3	1
"57"	2	2	2	2	1	3	2	1	3	3	1
"58"	3	3	1	1	1	3	2	3	1	1	1
"59"	4	3	2	1	2	2	2	1	4	3	1
"60"	2	1	2	1	1	4	2	3	4	4	1
"61"	3	1	1	1	2	3	1	2	1	3	1
"62"	4	4	4	4	4	4	4	4	4	4	1
"63"	3	2	2	1	2	3	2	2	2	2	1
"64"	4	2	4	1	2	4	2	3	3	4	1
"65"	2	2	1	1	2	4	2	1	3	4	1
"66"	1	3	3	3	3	3	2	4	4	3	1
"67"	1	2	2	1	1	3	2	1	1	1	1
"68"	3	3	3	3	3	3	2	4	3	4	1
"69"	3	2	2	2	4	2	3	3	3	4	1
"70"	1	1	1	1	1	3	1	1	1	1	1
"71"	2	2	2	1	4	2	2	2	2	1	1
"72"	3	4	3	4	4	4	3	4	2	3	1
"73"	1	2	1	1	1	3	1	2	2	1	1
"74"	3	3	2	3	2	2	2	2	2	2	1
"75"	3	3	4	3	3	4	3	4	4	2	1
"76"	2	1	1	2	1	4	2	2	1	2	1
"77"	1	1	3	1	1	4	2	2	4	4	1
"78"	1	1	2	2	2	2	1	2	2	2	1
"79"	4	2	3	3	4	4	3	4	2	3	1
"80"	3	4	4	4	4	4	2	2	3	4	1
"81"	1	2	2	1	1	3	1	2	2	2	1
"82"	4	4	4	2	1	3	4	3	4	1	1
"83"	2	2	2	1	2	4	4	4	3	4	1
"84"	4	3	2	1	3	3	3	3	2	3	1
"85"	3	3	3	3	4	4	2	3	4	2	1
"86"	3	3	4	3	3	4	2	2	4	4	1
"87"	3	3	2	2	1	4	2	2	3	3	1
"88"	2	1	1	1	2	2	1	2	1	1	1
"89"	4	4	4	4	1	3	2	2	2	3	1
"90"	3	2	2	2	1	3	2	1	1	4	1
"91"	3	3	3	3	4	4	4	3	3	4	1
"92"	1	1	2	1	1	2	1	1	1	1	1
"93"	3	2	2	1	1	2	1	1	2	3	1
"94"	4	4	2	1	1	4	1	1	3	3	1
"95"	3	3	4	3	3	4	3	3	2	4	1
"96"	4	4	4	4	4	4	4	4	4	3	1
"97"	3	2	3	2	3	4	3	3	1	2	1
"98"	2	3	3	2	1	4	2	2	3	4	1
"99"	1	1	2	2	2	3	1	1	1	1	1
"100"	1	3	2	2	1	3	3	3	2	1	1
"101"	4	4	4	4	4	4	4	4	4	4	1
"102"	4	2	2	1	2	4	3	3	2	4	1
"103"	1	3	2	2	2	3	3	3	3	3	1
"104"	1	1	1	1	2	3	2	2	2	3	1
"105"	1	4	2	1	2	4	2	4	4	1	1
"106"	1	1	1	1	1	3	1	1	1	1	1
"107"	1	2	1	1	3	3	1	3	1	2	1
"108"	3	3	2	2	4	4	2	2	3	4	1
"109"	1	1	2	2	2	4	1	2	1	1	1
"110"	1	1	1	1	2	4	2	2	1	2	1
"111"	1	3	1	1	4	4	1	3	4	1	1
"112"	3	2	3	2	4	4	4	3	1	4	1
"113"	1	2	1	1	1	2	2	2	2	1	1
"114"	3	1	1	1	1	4	1	1	4	4	1
"115"	4	3	2	2	1	2	1	1	1	4	1
"116"	2	4	3	4	4	4	4	4	4	4	1
"117"	2	1	1	1	2	4	1	2	1	1	1
"118"	2	2	2	1	2	2	2	3	2	3	1
"119"	3	2	2	1	1	3	2	1	1	3	1
"120"	1	1	1	1	1	2	1	1	2	3	1
"121"	3	2	2	2	1	2	1	2	3	3	1
"122"	4	4	3	4	2	2	3	4	4	1	1
"123"	2	2	2	3	1	1	1	1	1	3	1
"124"	2	1	2	1	1	1	1	1	2	1	1
"125"	2	1	2	2	3	3	4	2	1	2	1
"126"	1	1	2	1	1	3	1	1	2	3	1
"127"	4	4	3	3	2	3	1	1	2	4	1
"128"	4	3	2	2	1	2	1	3	3	2	1
"129"	3	2	1	1	1	2	2	1	1	1	1
"130"	2	2	1	1	1	4	1	2	2	3	1
"131"	2	2	3	2	2	3	1	2	3	3	1
"132"	3	4	3	1	4	4	2	3	4	4	1
"133"	1	1	1	1	1	4	2	2	1	1	1
"134"	4	4	3	1	2	2	4	4	2	3	1
"135"	1	2	3	1	3	3	1	1	1	1	1
"136"	2	1	1	1	1	2	1	1	2	3	1
"137"	2	1	2	2	2	3	2	2	1	4	1
"138"	1	2	2	1	3	2	1	2	2	4	1
"139"	1	2	1	1	2	3	1	3	1	1	1
"140"	3	3	2	1	2	4	3	3	4	4	1
"141"	3	4	4	3	4	4	4	4	4	3	1
"142"	3	4	4	4	2	3	3	3	4	2	1
"143"	3	3	4	3	4	4	2	1	1	4	1
"144"	1	1	1	1	2	4	2	4	4	3	1
"145"	3	4	4	4	4	4	3	2	4	4	1
"146"	4	3	3	3	2	3	3	3	4	4	1
"147"	1	1	1	1	1	4	1	1	1	1	1
"148"	4	4	4	4	2	4	3	3	2	4	1
"149"	1	1	2	2	1	2	1	1	1	1	1
"150"	1	1	1	1	1	1	1	1	1	3	1
"151"	1	1	1	1	1	1	1	1	1	1	1
"152"	3	2	3	3	3	3	2	3	4	4	1
"153"	3	1	2	3	2	4	3	3	3	3	1
"154"	1	2	1	1	2	2	1	1	3	1	1
"155"	1	2	1	2	1	2	1	1	1	2	1
"156"	3	2	1	1	2	4	2	2	1	4	1
"157"	4	3	3	1	3	4	2	2	4	4	1
"158"	4	3	1	1	1	4	1	1	4	1	1
"159"	4	4	3	4	3	3	3	4	4	2	1
"160"	1	1	2	1	3	4	3	3	1	1	1
"161"	4	4	4	4	2	4	4	4	4	4	1
"162"	1	3	4	4	4	4	4	4	4	4	1
"163"	2	1	1	1	1	3	1	2	2	3	1
"164"	2	3	4	2	1	4	4	4	4	4	1
"165"	2	3	1	1	1	3	2	1	3	1	1
"166"	2	3	1	1	1	1	1	1	1	1	1
"167"	4	4	4	3	4	4	4	4	4	4	1
"168"	1	1	1	1	2	2	1	1	1	1	1
"169"	2	1	1	1	1	1	1	1	1	2	1
"170"	2	2	2	3	1	2	1	1	2	3	1
"171"	1	3	2	2	2	3	2	1	2	3	1
"172"	4	4	4	4	4	4	4	4	4	4	1
"173"	1	1	1	2	1	4	1	1	1	1	1
"174"	4	3	1	1	2	3	1	1	3	4	1
"175"	4	4	4	3	2	2	3	3	4	1	1
"176"	4	1	2	2	4	4	3	1	1	4	1
"177"	1	2	1	1	2	4	2	3	1	4	1
"178"	2	2	2	1	1	2	1	2	3	2	1
"179"	3	2	2	2	4	2	1	3	3	2	1
"180"	3	3	2	2	1	2	1	2	1	2	1
"181"	3	2	3	2	1	2	2	1	1	3	1
"182"	4	3	3	4	4	4	2	3	4	4	1
"183"	1	1	1	1	2	2	1	1	2	1	1
"184"	1	2	1	1	1	3	2	3	1	4	1
"185"	2	1	1	2	3	3	2	2	1	3	1
"186"	2	1	4	1	3	4	1	2	1	4	1
"187"	1	1	1	2	2	3	2	2	3	2	1
"188"	2	3	4	4	3	4	4	3	2	4	1
"189"	3	4	4	3	2	4	3	3	4	2	1
"190"	1	2	2	3	2	3	3	3	3	1	1
"191"	1	1	1	1	1	2	1	1	1	3	1
"192"	4	3	3	4	2	4	3	4	1	1	1
"193"	3	2	2	2	1	2	2	1	2	2	1
"194"	2	1	2	1	1	3	1	1	2	2	1
"195"	2	2	2	2	2	2	2	2	3	3	1
"196"	2	2	2	3	3	4	4	4	4	4	1
"197"	4	4	4	2	2	3	2	2	4	4	1
"198"	4	4	4	4	4	4	3	3	4	4	1
"199"	1	1	1	2	2	2	2	2	1	2	1
"200"	3	2	2	1	2	4	1	3	3	1	1
"201"	3	3	3	2	2	4	2	2	2	4	1
"202"	3	3	3	3	2	3	2	3	4	1	1
"203"	2	2	2	2	1	2	2	3	4	4	1
"204"	1	2	2	2	1	2	2	2	2	1	1
"205"	1	1	1	1	2	2	1	1	1	2	1
"206"	2	3	2	3	3	3	4	3	3	1	1
"207"	4	4	2	2	3	3	2	3	1	3	1
"208"	1	1	1	1	1	2	1	1	1	2	1
"209"	2	1	1	1	1	1	1	1	1	2	1
"210"	4	4	4	4	4	4	4	4	4	4	1
"211"	2	2	2	1	2	3	2	3	2	1	1
"212"	1	1	2	2	1	4	1	1	1	1	1
"213"	1	1	1	1	1	2	1	1	1	1	1
"214"	3	3	3	3	3	3	3	3	3	3	1
"215"	1	2	2	2	1	3	1	1	3	1	1
"216"	3	4	3	3	3	3	3	3	3	3	1
"217"	2	2	2	2	2	2	2	2	2	2	1
"218"	3	3	3	2	3	4	2	2	1	3	1
"219"	2	4	4	1	4	4	4	4	4	1	1
"220"	4	4	4	4	2	4	4	3	1	3	1
"221"	4	4	4	3	4	4	4	4	4	4	1
"222"	1	1	1	1	1	1	1	1	1	1	1
"223"	2	2	2	1	2	3	2	3	2	1	1
"224"	4	3	3	3	3	4	3	3	2	4	1
"225"	4	4	2	2	4	4	4	4	2	4	1
"226"	2	2	3	3	4	3	2	2	1	1	1
"227"	1	1	1	1	1	2	1	1	1	1	1
"228"	3	2	2	2	1	2	2	2	1	2	1
"229"	1	2	2	2	1	1	1	2	1	1	1
"230"	1	2	1	1	1	4	2	3	4	1	1
"231"	1	1	2	2	2	4	1	1	1	1	1
"232"	2	2	1	2	2	3	2	1	1	1	1
"233"	2	1	1	1	2	2	1	1	1	2	1
"234"	2	4	3	1	2	3	3	3	4	1	1
"235"	2	2	2	3	1	4	1	1	2	3	1
"236"	1	1	2	1	1	2	1	1	2	1	1
"237"	2	2	2	3	2	3	3	3	4	4	1
"238"	1	1	2	1	1	4	2	2	4	2	1
"239"	1	2	2	2	2	2	1	1	4	2	1
"240"	2	3	2	1	2	4	2	3	4	3	1
"241"	1	2	2	2	3	4	3	3	4	1	1
"242"	1	1	1	1	1	2	1	1	1	2	1
"243"	2	1	1	1	1	4	2	1	1	3	1
"244"	2	3	4	3	3	4	3	3	3	3	1
"245"	4	4	4	4	4	4	4	4	1	2	1
"246"	2	1	1	1	1	4	1	1	1	4	1
"247"	2	2	2	1	2	3	1	2	1	3	1
"248"	3	4	3	1	2	1	4	4	4	4	1
"249"	4	4	4	3	2	3	2	3	4	3	1
"250"	4	4	4	4	4	4	4	4	4	4	1
"251"	2	2	3	1	3	3	2	3	4	2	1
"252"	2	3	4	2	3	1	2	3	3	4	1
"253"	1	1	1	1	1	1	1	1	1	1	1
"254"	3	3	3	1	3	1	3	3	2	3	1
"255"	4	4	4	2	4	4	3	4	4	3	1
"256"	2	4	3	2	4	4	4	3	4	2	1
"257"	2	3	1	1	1	2	2	1	3	1	1
"258"	2	1	2	2	2	3	1	2	1	2	1
"259"	4	3	3	4	2	4	3	3	4	4	1
"260"	3	3	1	1	1	4	1	1	4	1	1
"261"	3	1	1	1	1	3	1	1	1	1	1
"262"	3	1	2	1	1	4	2	3	1	1	1
"263"	3	2	2	2	4	4	1	1	1	4	1
"264"	2	2	2	2	4	4	3	2	1	2	1
"265"	4	3	4	2	4	4	4	4	2	3	1
"266"	2	2	2	3	1	2	1	1	1	1	1
"267"	3	3	4	3	4	3	3	2	3	3	1
"268"	1	2	1	1	3	2	2	2	2	3	1
"269"	2	1	1	2	1	3	1	1	1	3	1
"270"	3	2	2	2	2	2	2	3	3	3	1
"271"	2	1	2	1	2	3	2	2	3	3	1
"272"	2	2	3	2	2	4	2	2	3	4	1
"273"	2	3	2	1	4	4	4	3	4	1	1
"274"	1	2	1	2	1	3	1	1	2	3	1
"275"	1	1	1	1	2	3	1	1	2	1	1
"276"	1	1	2	2	1	3	1	2	1	2	1
"277"	4	2	4	1	1	2	2	1	2	1	1
"278"	4	4	3	4	2	4	3	4	4	4	1
"279"	1	1	2	1	1	3	1	1	1	1	1
"280"	2	2	3	1	2	2	1	1	3	2	1
"281"	1	2	2	1	1	4	4	3	2	1	1
"282"	2	2	2	2	1	3	3	2	2	1	1
"283"	4	4	3	2	2	4	3	3	3	3	1
"284"	2	2	2	1	4	4	2	3	1	4	1
"285"	2	3	3	2	4	4	3	4	4	4	1
"286"	1	1	2	1	2	4	1	3	2	1	1
"287"	1	2	2	1	2	2	2	2	2	2	1
"288"	4	2	2	3	1	3	2	1	3	4	1
"289"	3	2	2	3	3	2	3	2	3	2	1
"290"	3	3	2	1	2	2	3	2	2	1	1
"291"	2	2	2	2	2	4	2	1	3	3	1
"292"	3	4	3	2	2	3	3	3	3	1	1
"293"	2	1	2	1	3	4	2	2	1	4	1
"294"	1	1	1	1	4	3	1	3	4	1	1
"295"	1	2	2	1	3	2	2	3	4	2	1
"296"	2	3	3	2	1	2	2	2	3	3	1
"297"	1	1	1	1	1	2	1	1	2	1	1
"298"	2	2	2	2	1	2	2	2	2	2	1
"299"	1	2	1	1	2	3	2	1	1	1	1
"300"	3	4	2	1	2	2	2	2	4	4	1
"301"	2	1	2	1	1	4	3	2	1	1	1
"302"	4	4	4	4	4	4	3	2	3	4	1
"303"	4	4	4	1	1	3	1	2	4	2	1
"304"	4	2	3	3	4	4	4	4	4	2	1
"305"	2	2	2	1	2	4	4	2	3	1	1
"306"	2	2	2	4	2	3	1	1	4	4	1
"307"	1	3	1	2	1	3	3	3	2	4	1
"308"	4	3	3	2	3	4	4	4	2	4	1
"309"	2	4	4	1	4	4	4	4	4	4	1
"310"	4	4	2	2	4	3	3	4	3	4	1
"311"	1	2	4	2	4	4	4	4	4	4	1
"312"	1	2	2	2	3	4	3	3	3	2	1
"313"	2	2	2	1	1	2	1	2	2	3	1
"314"	1	1	1	1	1	2	1	1	2	1	1
"315"	3	3	3	3	4	3	2	2	2	4	1
"316"	2	1	1	1	2	3	1	1	2	3	1
"317"	2	2	1	1	3	3	1	2	3	3	1
"318"	3	2	3	3	2	4	2	3	4	2	1
"319"	1	2	2	2	4	4	2	2	1	1	1
"320"	2	1	2	1	1	4	1	1	1	2	1
"321"	2	2	1	1	2	2	1	1	1	4	1
"322"	3	1	1	1	1	1	2	1	1	2	1
"323"	3	4	2	3	4	4	2	4	3	2	1
"324"	3	2	2	1	1	2	3	2	2	3	1
"325"	1	3	2	2	1	1	1	1	1	1	1
"326"	2	2	2	2	2	2	2	3	2	2	1
"327"	2	2	1	1	1	2	1	1	2	4	1
"328"	2	2	2	1	1	3	2	3	3	2	1
"329"	3	2	2	4	4	3	1	2	1	4	1
"330"	2	2	2	2	4	3	2	2	3	1	1
"331"	1	1	1	1	1	2	1	1	1	1	1
"332"	2	1	1	2	1	3	1	2	2	2	1
"333"	2	2	2	1	2	2	2	2	3	2	1
"334"	2	2	1	1	1	4	4	3	4	4	1
"335"	1	1	2	2	1	2	1	1	1	2	1
"336"	2	2	4	2	2	4	3	3	4	4	1
"337"	1	1	2	1	1	3	1	1	2	2	1
"338"	2	2	1	1	1	2	1	1	2	2	1
"339"	2	2	2	4	2	3	2	2	2	3	1
"340"	3	3	3	1	1	3	2	1	3	2	1
"341"	4	4	4	4	4	4	1	2	1	2	1
"342"	3	3	2	3	1	4	3	2	4	3	1
"343"	4	3	4	4	4	4	4	4	4	4	1
"344"	3	3	4	3	2	2	2	2	3	4	1
"345"	3	4	4	3	2	3	3	3	3	3	1
"346"	1	1	1	1	1	4	1	1	1	1	1
"347"	3	2	1	1	3	2	1	1	2	3	1
"348"	3	2	4	3	4	3	3	2	4	3	1
"349"	1	1	2	2	4	3	2	2	1	1	1
"350"	2	1	3	3	3	3	2	2	1	2	1
"351"	4	3	3	1	1	3	2	2	2	1	1
"352"	3	2	3	2	3	4	3	2	3	4	1
"353"	1	1	1	1	1	2	1	1	1	1	1
"354"	4	3	3	2	2	4	1	2	3	4	1
"355"	1	2	1	1	2	1	4	4	1	1	1
"356"	3	2	4	2	3	4	4	4	3	2	1
"357"	2	3	2	1	1	1	2	2	2	1	1
"358"	1	1	1	1	1	1	1	1	2	1	1
"359"	3	2	3	2	4	4	3	3	4	4	1
"360"	2	1	1	2	1	2	1	1	1	1	1
"361"	1	1	1	1	1	4	1	1	1	1	1
"362"	2	1	2	2	1	4	1	2	3	1	1
"363"	1	2	1	1	2	2	1	2	3	1	1
"364"	1	2	2	1	3	3	2	2	2	3	1
"365"	1	1	1	1	2	2	1	1	1	1	1
"366"	2	3	3	2	2	1	3	3	2	1	1
"367"	1	2	2	2	1	3	1	1	1	1	1
"368"	2	4	4	4	3	3	3	3	4	1	1
"369"	1	1	2	2	1	3	2	2	1	1	1
"370"	2	3	2	3	2	4	2	2	1	2	1
"371"	2	2	2	2	2	2	1	1	3	2	1
"372"	4	2	2	2	3	4	2	2	1	2	1
"373"	3	2	2	1	2	3	4	3	1	4	1
"374"	3	4	4	4	4	4	4	4	4	4	1
"375"	2	1	1	4	3	4	3	2	1	1	1
"376"	3	3	4	3	4	4	4	4	3	4	1
"377"	3	3	2	4	2	2	2	3	3	2	1
"378"	2	2	3	3	3	4	2	3	3	2	1
"379"	3	1	2	3	1	2	2	1	2	1	1
"380"	2	2	3	4	2	4	2	2	2	3	1
"381"	3	2	2	2	1	4	4	4	4	4	1
"382"	2	1	1	1	3	2	1	2	2	4	1
"383"	2	1	2	2	2	4	2	2	1	2	1
"384"	1	3	1	1	3	3	2	2	2	2	1
"385"	2	2	2	1	2	2	2	1	2	1	1
"386"	2	2	2	3	1	2	1	2	2	1	1
"387"	1	1	1	1	2	2	1	1	1	1	1
"388"	3	3	2	2	1	4	2	3	3	4	1
"389"	1	4	2	2	4	4	3	2	1	1	1
"390"	2	2	2	1	1	1	2	3	3	2	1
"391"	4	4	2	1	1	4	4	4	4	3	1
"392"	3	2	1	1	2	4	2	2	3	4	1
"393"	4	1	2	2	3	3	4	3	2	4	1
"394"	2	1	1	1	4	4	3	1	1	3	1
"395"	3	3	3	3	4	4	3	2	4	4	1
"396"	3	2	2	1	1	4	1	1	4	2	1
"397"	2	4	3	3	4	4	4	4	4	4	1
"398"	3	4	4	4	4	4	4	4	3	3	1
"399"	3	2	2	2	4	4	3	3	2	1	1
"400"	1	2	1	3	2	4	4	4	4	2	1
"401"	1	2	1	1	2	1	1	1	1	1	1
"402"	3	3	2	1	1	3	3	3	3	3	1
"403"	3	4	3	2	2	4	1	2	4	3	1
"404"	4	2	4	3	1	4	2	2	2	4	1
"405"	2	1	2	1	1	3	2	1	3	2	1
"406"	1	1	2	2	1	2	2	2	1	1	1
"407"	3	3	1	1	1	3	1	1	2	3	1
"408"	1	1	1	1	1	1	1	1	1	1	1
"409"	4	4	4	2	4	4	3	4	3	4	1
"410"	1	1	2	2	2	4	2	2	1	4	1
"411"	2	1	2	3	2	4	2	1	2	2	1
"412"	4	3	3	1	4	4	3	4	2	4	1
"413"	3	3	3	3	2	4	3	4	4	4	1
"414"	1	1	1	1	1	2	1	1	2	1	1
"415"	3	4	3	2	3	2	3	4	3	3	1
"416"	2	1	2	1	2	2	2	1	1	2	1
"417"	2	1	1	1	2	2	2	1	1	1	1
"418"	3	3	4	4	4	4	4	4	4	1	1
"419"	2	3	2	1	1	4	2	2	4	4	1
"420"	3	1	1	1	2	3	1	1	1	2	1
"421"	3	1	1	1	2	2	2	2	2	1	1
"422"	3	4	4	4	4	4	3	4	4	4	1
"423"	3	2	1	1	2	3	2	2	4	3	1
"424"	2	3	2	1	3	3	2	1	2	3	1
"425"	3	2	2	2	3	3	2	2	1	4	1
"426"	2	2	2	1	2	3	2	2	2	2	1
"427"	2	3	4	2	2	4	3	3	2	3	1
"428"	4	2	2	3	4	4	4	4	3	4	1
"429"	2	2	2	2	2	3	2	3	2	4	1
"430"	1	1	1	1	1	2	3	2	3	1	1
"431"	1	1	1	1	2	1	1	1	1	1	1
"432"	1	2	2	1	2	4	2	3	2	4	1
"433"	1	1	1	1	1	1	1	1	1	1	1
"434"	3	3	2	1	1	2	2	2	2	2	1
"435"	4	4	3	3	4	4	4	4	4	1	1
"436"	1	4	3	3	4	2	2	2	2	3	1
"437"	1	1	1	1	1	2	2	2	3	1	1
"438"	2	3	2	1	1	3	1	2	3	1	1
"439"	1	1	1	1	1	2	1	1	1	1	1
"440"	2	3	3	3	2	4	4	3	4	3	1
"441"	4	2	2	1	2	4	2	1	1	4	1
"442"	3	3	4	4	2	3	3	4	3	3	1
"443"	2	2	1	2	1	4	1	2	1	1	1
"444"	1	1	1	1	1	2	1	1	1	3	1
"445"	2	2	2	1	1	3	2	2	3	1	1
"446"	2	2	3	2	1	4	1	2	4	3	1
"447"	2	1	2	1	2	4	1	1	1	4	1
"448"	2	1	3	1	1	4	3	3	3	1	1
"449"	3	3	3	2	4	2	3	3	3	3	1
"450"	4	2	4	2	4	4	4	4	3	3	1
"451"	1	4	4	4	4	4	4	4	4	3	1
"452"	4	3	4	4	3	4	4	3	3	3	1
"453"	2	3	2	1	1	4	3	3	4	4	1
"454"	3	3	3	1	2	2	2	3	4	3	1
"455"	3	2	2	2	3	3	2	2	2	3	1
"456"	2	2	2	1	1	2	1	1	1	2	1
"457"	4	1	4	1	4	4	4	4	1	4	1
"458"	4	4	4	4	2	4	1	2	4	4	1
"459"	1	4	3	3	1	2	1	3	3	3	1
"460"	4	3	3	2	2	4	4	4	4	4	1
"461"	2	2	2	2	2	2	2	2	2	2	1
"462"	2	1	1	1	1	3	1	1	1	2	1
"463"	2	3	4	3	2	3	2	3	3	2	1
"464"	2	1	2	2	1	2	2	1	1	2	1
"465"	3	1	1	1	1	3	1	1	1	3	1
"466"	4	3	4	2	4	4	3	3	4	4	1
"467"	3	3	3	2	3	3	4	3	4	2	1
"468"	1	2	2	2	1	2	2	3	2	1	1
"469"	3	3	3	2	3	3	2	2	1	4	1
"470"	1	1	1	1	4	4	4	3	1	1	1
"471"	1	1	1	1	1	2	1	1	1	3	1
"472"	2	3	3	1	2	1	3	1	4	2	1
"473"	2	3	2	4	2	3	3	2	2	1	1
"474"	2	2	2	1	4	3	3	4	4	3	1
"475"	2	1	1	2	1	2	2	2	2	1	1
"476"	4	3	4	2	2	3	4	4	3	4	1
"477"	1	1	1	1	1	3	1	1	2	4	1
"478"	2	1	1	2	1	3	1	1	2	1	1
"479"	2	2	3	4	2	4	4	2	1	3	1
"480"	1	1	1	1	3	3	1	1	2	2	1
"481"	2	1	1	1	3	4	3	3	2	4	1
"482"	2	1	2	1	3	4	3	3	3	4	1
"483"	3	2	1	1	1	4	1	1	1	2	1
"484"	3	2	2	2	4	4	3	2	2	3	1
"485"	1	2	2	1	2	3	3	3	3	3	1
"486"	3	3	2	1	2	2	3	2	4	3	1
"487"	4	4	4	4	4	4	4	4	4	4	1
"488"	3	4	4	2	4	4	2	2	2	3	1
"489"	2	2	2	2	2	2	1	2	1	1	1
"490"	4	3	4	3	2	4	2	3	1	3	1
"491"	1	1	2	2	2	3	2	2	4	1	1
"492"	2	2	3	1	1	4	1	1	3	1	1
"493"	2	3	3	2	2	4	2	4	3	3	1
"494"	2	1	3	1	3	3	2	2	2	3	1
"495"	4	1	1	2	1	3	1	2	1	1	1
"496"	4	2	4	4	3	2	3	4	2	3	1
"497"	3	2	3	2	2	3	2	2	2	4	1
"498"	1	1	1	1	1	1	1	1	1	1	1
"499"	4	4	4	4	4	4	4	4	4	4	1
"500"	1	1	1	1	1	4	3	3	3	1	1
"501"	1	1	1	1	1	1	1	1	1	1	1
"502"	4	4	2	1	1	4	2	4	3	4	1
"503"	4	4	2	1	2	3	3	2	3	4	1
"504"	4	4	3	3	2	2	1	1	2	2	1
"505"	1	1	2	1	2	4	1	1	2	2	1
"506"	3	3	2	1	4	4	3	3	4	4	1
"507"	3	2	2	2	3	4	3	2	3	3	1
"508"	2	3	2	2	4	2	2	2	1	3	1
"509"	1	2	2	3	2	3	2	3	3	2	1
"510"	2	1	1	2	2	1	1	1	1	4	1
"511"	1	4	4	4	3	4	3	4	4	4	1
"512"	1	1	1	1	2	4	1	2	1	2	1
"513"	2	1	2	1	2	2	1	1	3	2	1
"514"	2	2	2	1	3	1	1	1	1	1	1
"515"	2	4	4	4	3	4	4	4	3	2	1
"516"	4	4	4	4	4	4	4	4	4	4	1
"517"	2	1	2	2	2	2	1	2	1	1	1
"518"	1	1	2	1	2	2	2	2	2	3	1
"519"	4	3	4	4	4	4	3	3	4	4	1
"520"	2	3	2	1	2	4	2	2	4	4	1
"521"	3	4	3	2	2	2	4	4	2	4	1
"522"	2	2	2	2	2	4	2	1	4	2	1
"523"	3	4	3	4	3	4	4	4	3	2	1
"524"	4	4	3	4	4	3	3	3	1	1	1
"525"	2	2	1	1	1	1	1	1	1	1	1
"526"	4	4	4	3	4	4	4	4	4	4	1
"527"	2	2	2	2	2	3	3	3	3	3	1
"528"	1	2	1	1	1	1	1	1	1	1	1
"529"	1	1	1	1	1	2	2	1	2	1	1
"530"	4	4	4	2	4	4	2	3	3	3	1
"531"	2	2	2	2	2	2	2	2	2	2	1
"532"	3	2	1	1	1	4	1	1	1	1	1
"533"	1	1	2	1	4	4	4	3	2	1	1
